Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness
Brothers Yamazaki,Human Samurai,3.0,R,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)If there are exactly two permanents named Brothers Yamazaki on the battlefield, the ""legend rule"" doesn't apply to them.Each other creature named Brothers Yamazaki gets +2/+2 and has haste.",Bushido,2,1
"Bruse Tarl, Boorish Herder",Human Ally,4.0,"R, W","Whenever Bruse Tarl enters or attacks, target creature you control gains double strike and lifelink until end of turn.Partner (You can have two commanders if both have partner.)",Partner,3,3
"Bruse Tarl, Roving Rancher",Human Warrior,4.0,"R, W","Oxen you control have double strike.Whenever Bruse Tarl enters or attacks, exile the top card of your library. If it's a land card, create a 2/2 white Ox creature token. Otherwise, you may cast it until the end of your next turn.",,4,3
"Buxton, Decorated Host",Rabbit Noble,6.0,"G, W","ConvokeAt the beginning of your end step, if you control a tapped creature, seek a nonland permanent card with mana value X or less, where X is the number of tapped creatures you control. Put that card onto the battlefield.","Seek, Convoke",4,4
Cabal Patriarch,Human Wizard,6.0,B,"{2}{B}, Sacrifice a creature: Target creature gets -2/-2 until end of turn.{2}{B}, Exile a creature card from your graveyard: Target creature gets -2/-2 until end of turn.",,5,5
"Caelorna, Coral Tyrant",Octopus,2.0,U,,,0,8
"Calim, Djinn Emperor",Djinn Noble,6.0,U,"Flying, ward {2}Calim's Breath — {1}{U}, Discard Calim: Tap up to one target nonland permanent. Draw a card. Then you may exile two other cards named Calim, Djinn Emperor from your graveyard. When you do, return Calim from your graveyard to the battlefield tapped.When you discard Calim, conjure a card named Calim, Djinn Emperor into your library seventh from the top.","Flying, Calim's Breath, Ward, Conjure",5,6
Candlekeep Sage,Background,3.0,U,"Commander creatures you own have ""When this creature enters or leaves the battlefield, draw a card.""",,0,0
"Cao Cao, Lord of Wei",Human Soldier,5.0,B,"{T}: Target opponent discards two cards. Activate only during your turn, before attackers are declared.",,3,3
"Cao Ren, Wei Commander",Human Soldier Warrior,4.0,B,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)When Cao Ren enters, you lose 3 life.",Horsemanship,3,3
Captain Eberhart,Human Soldier,2.0,W,Double strikeSpells cast from among cards you drew this turn cost {1} less to cast.Spells cast from among cards your opponents drew this turn cost {1} more to cast.,Double strike,1,2
Captain Lannery Storm,Human Pirate,3.0,R,"HasteWhenever Captain Lannery Storm attacks, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")Whenever you sacrifice a Treasure, Captain Lannery Storm gets +1/+0 until end of turn.","Treasure, Haste",2,2
Captain Ripley Vance,Human Pirate,3.0,R,"Whenever you cast your third spell each turn, put a +1/+1 counter on Captain Ripley Vance, then it deals damage equal to its power to any target.",,3,2
"Casal, Lurkwood Pathfinder // Casal, Pathbreaker Owlbear",Tiefling Druid // Legendary Creature,4.0,G,Missing Oracle Text,"Vigilance, Transform, Trample",0,0
"Cass, Hand of Vengeance",Human Ranger,4.0,"R, W","VigilanceWhenever Cass or another creature you control dies, if it was enchanted or equipped, return any number of Aura cards that were attached to it from your graveyard to the battlefield attached to target creature, then attach any number of Equipment that were attached to it to that creature.",Vigilance,4,3
"Cazur, Ruthless Stalker",Human Warrior,4.0,G,"Partner with Ukkima, Stalking Shadow (When this creature enters, target player may put Ukkima into their hand from their library, then shuffle.)Whenever a creature you control deals combat damage to a player, put a +1/+1 counter on that creature.","Partner with, Partner",3,3
"Cecil, Dark Knight // Cecil, Redeemed Paladin",Human Knight // Legendary Creature,1.0,"B, W",Missing Oracle Text,"Lifelink, Protect, Transform, Darkness, Deathtouch",0,0
"Cecily, Haunted Mage",Human Wizard,4.0,"B, R, U","Your maximum hand size is eleven.Whenever Cecily, Haunted Mage attacks, you draw a card and you lose 1 life. Then if you have eleven or more cards in your hand, you may cast an instant or sorcery spell from your hand without paying its mana cost.Friends forever (You can have two commanders if both have friends forever.)",Friends forever,3,5
Celeborn the Wise,Elf Noble,4.0,G,"Whenever you attack with one or more Elves, scry 1.Whenever you scry, Celeborn gets +1/+1 until end of turn for each card looked at while scrying this way.",Scry,3,3
"Cerise, Slayer of Fear",Human Cleric Knight,5.0,W,"First strike, lifelinkAt the beginning of your second main phase, if you gained life this turn, seek a card with the highest mana value among cards in your library with mana value less than or equal to the amount of life you gained this turn.","Lifelink, Seek, First strike",5,5
Chandler,Human Rogue,5.0,R,"{R}{R}{R}, {T}: Destroy target artifact creature.",,3,3
"Chandra, Fire of Kaladesh // Chandra, Roaring Flame",Human Shaman // Legendary Planeswalker,3.0,R,Missing Oracle Text,Transform,0,0
"Cho-Manno, Revolutionary",Human Rebel,4.0,W,Prevent all damage that would be dealt to Cho-Manno.,,2,2
Chorus of the Conclave,Dryad,8.0,"G, W","Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)As an additional cost to cast creature spells, you may pay any amount of mana. If you do, that creature enters with that many additional +1/+1 counters on it.","Landwalk, Forestwalk",3,8
"Circu, Dimir Lobotomist",Human Wizard,4.0,"B, U","Whenever you cast a blue spell, exile the top card of target player's library.Whenever you cast a black spell, exile the top card of target player's library.Your opponents can't cast spells with the same name as a card exiled with Circu.",,2,3
"Claire D'Loon, Joy Sculptor",Human Performer,2.0,"U, W","When Claire D'Loon, Joy Sculptor enters, for the rest of the game, tokens you own become cards that are still tokens. (They continue to exist after they leave the battlefield.){1}{W}{U}, {T}: You may put a token from your graveyard or hand onto the battlefield.",,2,3
Clan Crafter,Background,2.0,U,"Commander creatures you own have ""{2}, Sacrifice an artifact: Put a +1/+1 counter on this creature and draw a card.""",,0,0
Clara Oswald,Human Advisor,6.0,No Color Identity,"Impossible Girl — If Clara Oswald is your commander, choose a color before the game begins. Clara Oswald is the chosen color.If a triggered ability of a Doctor you control triggers, that ability triggers an additional time.Doctor's companion (You can have two commanders if the other is the Doctor.)","Impossible Girl, Doctor's companion",2,6
"Cleon, Merry Champion",Human Soldier,3.0,R,"Double strikeHeroic — Whenever you cast a spell that targets Cleon, exile the top card of your library. You may play that card until the end of your next turn.","Heroic, Double strike",2,2
Cloakwood Hermit,Background,3.0,G,"Commander creatures you own have ""At the beginning of your end step, if a creature card was put into your graveyard from anywhere this turn, create two tapped 1/1 green Squirrel creature tokens.""",,0,0
"Cloud, Ex-SOLDIER",Human Soldier Mercenary,5.0,"G, R, W","HasteWhen Cloud enters, attach up to one target Equipment you control to it.Whenever Cloud attacks, draw a card for each equipped attacking creature you control. Then if Cloud has power 7 or greater, create two Treasure tokens.","Treasure, Haste",4,4
Cloudhoof Kirin,Kirin Spirit,5.0,U,"FlyingWhenever you cast a Spirit or Arcane spell, you may have target player mill X cards, where X is that spell's mana value.","Flying, Mill",4,4
"Cloud, Planet's Champion",Human Soldier Mercenary,5.0,"R, W","During your turn, as long as Cloud is equipped, it has double strike and indestructible. (This creature deals both first-strike and regular combat damage. Damage and effects that say ""destroy"" don't destroy this creature.)Equip abilities you activate that target Cloud cost {2} less to activate.",,4,4
"Codsworth, Handy Helper",Robot,3.0,W,Commanders you control have ward {2}.{T}: Add {W}{W}. Spend this mana only to cast Aura and/or Equipment spells.{T}: Attach target Aura or Equipment you control to target creature you control. Activate only as a sorcery.,,2,3
Commander Eesha,Bird Soldier,4.0,W,"Flying, protection from creatures","Flying, Protection",2,4
Commander Sofia Daguerre,Human Pilot,4.0,W,"FlashCrash Landing — When Commander Sofia Daguerre enters, destroy up to one target legendary permanent. That permanent's controller creates a Junk token. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")","Crash Landing, Flash",1,3
"Cormela, Glamour Thief",Vampire Rogue,4.0,"B, R, U","Haste{1}, {T}: Add {U}{B}{R}. Spend this mana only to cast instant and/or sorcery spells.When Cormela dies, return up to one target instant or sorcery card from your graveyard to your hand.",Haste,2,4
"Cosima, God of the Voyage // The Omenkeel",God // Legendary Artifact,3.0,U,Missing Oracle Text,Crew,0,0
Criminal Past,Background,3.0,B,"Commander creatures you own have menace and ""This creature gets +X/+0, where X is the number of creature cards in your graveyard."" (A creature with menace can't be blocked except by two or more creatures.)",,0,0
Crovax the Cursed,Vampire Noble,4.0,B,"Crovax enters with four +1/+1 counters on it.At the beginning of your upkeep, you may sacrifice a creature. If you do, put a +1/+1 counter on Crovax. If you don't, remove a +1/+1 counter from Crovax.{B}: Crovax gains flying until end of turn.",,0,0
"Crucias, Titan of the Waves",Human Pirate,3.0,"B, R","At the beginning of your end step, you may discard a card. If you do, create a Treasure token and choose ambitious or expedient. If you chose ambitious, seek a card with greater mana value than the discarded card. If you chose expedient, seek a card with lesser mana value than the discarded card.","Seek, Treasure",3,1
Cultist of the Absolute,Background,1.0,B,"Commander creatures you own get +3/+3 and have flying, deathtouch, ""Ward—Pay 3 life,"" and ""At the beginning of your upkeep, sacrifice a creature.""",,0,0
"Cyclonus, the Saboteur // Cyclonus, Cybertronian Fighter",Robot // Legendary Artifact,4.0,"B, U",Missing Oracle Text,"Flying, Living metal, Convert, More Than Meets the Eye, Connive",0,0
"D00-DL, Caricaturist",Robot,6.0,No Color Identity,"When D00-DL, Caricaturist enters, create a 4/4 colorless Sketch creature token, which you have fifteen seconds to draw. The token has flying if it has wings in its art. The same is true for first strike and a sword, vigilance and a shield, menace and mean eyes, trample and horns, deathtouch and claws, lifelink and fangs, and haste and footwear.",,1,1
Daghatar the Adamant,Human Warrior,4.0,"B, G, W",VigilanceDaghatar enters with four +1/+1 counters on it.{1}{B/G}{B/G}: Move a +1/+1 counter from target creature onto a second target creature.,Vigilance,0,0
"Dalakos, Crafter of Wonders",Merfolk Artificer,3.0,"R, U",{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.Equipped creatures you control have flying and haste.,,2,4
"Danitha, Benalia's Hope",Human Knight,5.0,W,"First strike, vigilance, lifelinkWhen Danitha enters, you may put an Aura or Equipment card from your hand or graveyard onto the battlefield attached to Danitha.","Lifelink, Vigilance, First strike",4,4
"Danitha, New Benalia's Light",Human Knight,3.0,"G, W","Vigilance, trample, lifelinkOnce during each of your turns, you may cast an Aura or Equipment spell from your graveyard.","Lifelink, Vigilance, Trample",2,2
Dan Lewis,Human,2.0,R,"Noncreature, non-Equipment artifacts you control are Equipment in addition to their other types and have ""Equipped creature gets +1/+0"" and equip {1}.Doctor's companion (You can have two commanders if the other is the Doctor.)",Doctor's companion,2,2
Danny Pink,Human Soldier Advisor,4.0,U,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)Creatures you control have ""Whenever one or more counters are put on this creature for the first time each turn, draw a card.""",Mentor,4,3
