Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness,theme_label
Atogatog,Atog,5.0,"B, G, R, U, W","Sacrifice an Atog creature: Atogatog gets +X/+X until end of turn, where X is the sacrificed creature's power.",,5,5,Atogs
"Atraxa, Grand Unifier",Phyrexian Angel,7.0,"B, G, U, W","Flying, vigilance, deathtouch, lifelinkWhen Atraxa enters, reveal the top ten cards of your library. For each card type, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order. (Artifact, battle, creature, enchantment, instant, land, planeswalker, and sorcery are card types.)","Deathtouch, Flying, Lifelink, Vigilance",7,7,Blink
"Atraxa, Praetors' Voice",Phyrexian Angel Horror,4.0,"B, G, U, W","Flying, vigilance, deathtouch, lifelinkAt the beginning of your end step, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)","Deathtouch, Flying, Lifelink, Vigilance, Proliferate",4,4,Infect
"Atris, Oracle of Half-Truths",Human Advisor,4.0,"B, U","MenaceWhen Atris enters, target opponent looks at the top three cards of your library and separates them into a face-down pile and a face-up pile. Put one pile into your hand and the other into your graveyard.",Menace,3,2,Gyruda Companion
"Atsushi, the Blazing Sky",Dragon Spirit,4.0,R,"Flying, trampleWhen Atsushi dies, choose one —• Exile the top two cards of your library. Until the end of your next turn, you may play those cards.• Create three Treasure tokens.","Flying, Treasure, Trample",4,4,Devils
"Auntie Blyte, Bad Influence",Devil Advisor,3.0,R,"FlyingWhenever a source you control deals damage to you, put that many +1/+1 counters on Auntie Blyte.{1}{R}, {T}, Remove X +1/+1 counters from Auntie Blyte: It deals X damage to any target.",Flying,2,2,Group Slug
"Aurelia, Exemplar of Justice",Angel,4.0,"R, W","FlyingMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)At the beginning of combat on your turn, choose up to one target creature you control. Until end of turn, that creature gets +2/+0, gains trample if it's red, and gains vigilance if it's white.","Flying, Mentor",2,5,Keywords
"Aurelia, the Law Above",Angel,5.0,"R, W","Flying, vigilance, hasteWhenever a player attacks with three or more creatures, you draw a card.Whenever a player attacks with five or more creatures, Aurelia deals 3 damage to each of your opponents and you gain 3 life.","Flying, Vigilance, Haste",4,4,Angels
"Aurelia, the Warleader",Angel,6.0,"R, W","Flying, vigilance, hasteWhenever Aurelia attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.","Flying, Vigilance, Haste",3,4,Angels
"Avacyn, Angel of Hope",Angel,8.0,W,"Flying, vigilance, indestructibleOther permanents you control have indestructible.","Flying, Indestructible, Vigilance",8,8,Angels
Aveline de Grandpre,Human Assassin,4.0,"B, G","DeathtouchWhenever a creature you control with deathtouch deals combat damage to a player, put that many +1/+1 counters on that creature.Disguise {B}{G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)","Disguise, Deathtouch",3,3,Deathtouch
"Averna, the Chaos Bloom",Elemental Shaman,3.0,"G, R, U","As you cascade, you may put a land card from among the exiled cards onto the battlefield tapped. (Do this after the last card is exiled but before deciding whether to cast a nonland card.)",,4,2,Cascade
"Ayara, First of Locthwain",Elf Noble,3.0,B,"Whenever Ayara or another black creature you control enters, each opponent loses 1 life and you gain 1 life.{T}, Sacrifice another black creature: Draw a card.",,2,3,Aristocrats
Ayesha Tanaka,Human Artificer,4.0,"U, W","Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.){T}: Counter target activated ability from an artifact source unless that ability's controller pays {W}. (Mana abilities can't be targeted.)",Banding,2,2,Banding
"Ayesha Tanaka, Armorer",Human Artificer,5.0,"U, W","Whenever Ayesha Tanaka attacks, look at the top four cards of your library. You may put any number of artifact cards with mana value less than or equal to Ayesha Tanaka's power from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.Ayesha Tanaka can't be blocked as long as defending player controls three or more artifacts.",,2,4,Stoneblade
"Ayli, Eternal Pilgrim",Kor Cleric,2.0,"B, W","Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.){1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate only if you have at least 10 life more than your starting life total.",Deathtouch,2,3,Clerics
"Ayula, Queen Among Bears",Bear,2.0,G,"Whenever another Bear you control enters, choose one —• Put two +1/+1 counters on target Bear.• Target Bear you control fights target creature you don't control.",Fight,2,2,Bears
"Ayumi, the Last Visitor",Spirit,5.0,G,Legendary landwalk (This creature can't be blocked as long as defending player controls a legendary land.),"Landwalk, Legendary landwalk",7,3,Landwalk
"Azami, Lady of Scrolls",Human Wizard,5.0,U,Tap an untapped Wizard you control: Draw a card.,,0,2,Wizards
"Azlask, the Swelling Scourge",Eldrazi,3.0,"B, G, R, U, W","Whenever Azlask or another colorless creature you control dies, you get an experience counter.{W}{U}{B}{R}{G}: Creatures you control get +X/+X until end of turn, where X is the number of experience counters you have. Scions and Spawns you control gain indestructible and annihilator 1 until end of turn.",,2,2,Eldrazi
"Azor, the Lawbringer",Sphinx,6.0,"U, W","FlyingWhen Azor enters, each opponent can't cast instant or sorcery spells during that player's next turn.Whenever Azor attacks, you may pay {X}{W}{U}{U}. If you do, you gain X life and draw X cards.",Flying,6,6,Sphinxes
"Azusa, Lost but Seeking",Human Monk,3.0,G,You may play two additional lands on each of your turns.,,1,2,Landfall
"Baba Lysaga, Night Witch",Human Warlock,3.0,"B, G","{T}, Sacrifice up to three permanents: If there were three or more card types among the sacrificed permanents, each opponent loses 3 life, you gain 3 life, and you draw three cards.",,3,3,Graveyard
"Baird, Argivian Recruiter",Human Soldier,2.0,"R, W","At the beginning of your end step, if you control a creature with power greater than its base power, create a 1/1 white Soldier creature token.",,2,2,Soldiers
"Balan, Wandering Knight",Cat Knight,4.0,W,First strikeBalan has double strike as long as two or more Equipment are attached to it.{1}{W}: Attach all Equipment you control to Balan.,First strike,3,3,Equipment
"Baldin, Century Herdmaster",Human Warrior,6.0,W,"As long as it's your turn, each creature assigns combat damage equal to its toughness rather than its power.Whenever Baldin, Century Herdmaster attacks, up to one hundred target creatures each get +0/+X until end of turn, where X is the number of cards in your hand.",,0,7,Toughness Matters
"Balmor, Battlemage Captain",Bird Wizard,2.0,"R, U","FlyingWhenever you cast an instant or sorcery spell, creatures you control get +1/+0 and gain trample until end of turn.",Flying,1,3,Spellslinger
Balthor the Defiled,Zombie Dwarf,4.0,B,"Minion creatures get +1/+1.{B}{B}{B}, Exile Balthor: Each player returns all black and all red creature cards from their graveyard to the battlefield.",,2,2,Minions
Balthor the Stout,Dwarf Barbarian,3.0,R,Other Barbarian creatures get +1/+1.{R}: Another target Barbarian creature gets +1/+0 until end of turn.,,2,2,Barbarians
"Bane, Lord of Darkness",God,4.0,"B, U, W","As long as your life total is less than or equal to half your starting life total, Bane has indestructible.Whenever another nontoken creature you control dies, target opponent may have you draw a card. If they don't, you may put a creature card with equal or lesser toughness from your hand onto the battlefield.",,5,2,Shadowborn Apostles
Baral and Kari Zev,Human,3.0,"R, U","First strike, menaceWhenever you cast your first instant or sorcery spell each turn, you may cast a spell with lesser mana value that shares a card type with it from your hand without paying its mana cost. If you don't, create First Mate Ragavan, a legendary 2/1 red Monkey Pirate creature token. It gains haste until end of turn.","First strike, Menace",2,4,Polymorph
"Baral, Chief of Compliance",Human Wizard,2.0,U,"Instant and sorcery spells you cast cost {1} less to cast.Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.",,1,3,Counterspells
Barktooth Warbeard,Human Warrior,7.0,"B, R",,,6,5,Warriors
"Barrin, Master Wizard",Human Wizard,3.0,U,"{2}, Sacrifice a permanent: Return target creature to its owner's hand.",,1,1,Old School
"Barrin, Tolarian Archmage",Human Wizard,3.0,U,"When Barrin enters, return up to one other target creature or planeswalker to its owner's hand.At the beginning of your end step, if a permanent was put into your hand from the battlefield this turn, draw a card.",,2,2,Bounce
Barrowin of Clan Undurr,Dwarf Cleric,4.0,"B, W","When Barrowin enters, venture into the dungeon. (Enter the first room or advance to the next room.)Whenever Barrowin attacks, return up to one creature card with mana value 3 or less from your graveyard to the battlefield if you've completed a dungeon.",Venture into the dungeon,3,3,Dungeon
Bartel Runeaxe,Giant Warrior,6.0,"B, G, R",VigilanceBartel Runeaxe can't be the target of Aura spells.,Vigilance,6,5,Giants
Bartolome del Presidio,Vampire Knight,2.0,"B, W",Sacrifice another creature or artifact: Put a +1/+1 counter on Bartolomé del Presidio.,,2,1,Lurrus Companion
"Baru, Wurmspeaker",Human Druid,4.0,G,"Wurms you control get +2/+2 and have trample.{7}{G}, {T}: Create a 4/4 green Wurm creature token. This ability costs {X} less to activate, where X is the greatest power among Wurms you control.",,3,3,Wurms
Basim Ibn Ishaq,Human Assassin,2.0,"B, U","Whenever you cast a historic spell, draw a card. Basim Ibn Ishaq can't be blocked this turn. This ability triggers only once each turn. (Artifacts, legendaries, and Sagas are historic.)Whenever Basim Ibn Ishaq deals combat damage to a player, put a +1/+1 counter on it.",,2,2,Historic
"Baylen, the Haymaker",Rabbit Warrior,3.0,"G, R, W",Tap two untapped tokens you control: Add one mana of any color.Tap three untapped tokens you control: Draw a card.Tap four untapped tokens you control: Put three +1/+1 counters on Baylen. It gains trample until end of turn.,,4,3,Tokens
"Be'lakor, the Dark Master",Demon Noble,6.0,"B, R, U","FlyingPrince of Chaos — When Be'lakor, the Dark Master enters, you draw X cards and you lose X life, where X is the number of Demons you control.Lord of Torment — Whenever another Demon you control enters, it deals damage equal to its power to any target.","Flying, Prince of Chaos, Lord of Torment",6,5,Demons
"Belbe, Corrupted Observer",Phyrexian Zombie Elf,2.0,"B, G","At the beginning of each postcombat main phase, the active player adds {C}{C} for each of your opponents who lost life this turn. (Damage causes loss of life.)",,2,2,Big Mana
